,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
0,online,2022,Business,2nd,Turkey,Medical,BTC,remittance,+++,4-5,,100,family,Y,Y
1,f2f,2020,STEM,MSc,Europe,Engineering,"BTC,ETH,ALT",trade,+++,1,,,study/research,N,Y
2,online,2024,Humanities,Phd,India,Medical,"BTC,ALT","remittance,trans",+++,4-5,,25,study/research,N,Y
3,online,2021,STEM,2nd,Europe,Finance,DOGE,trade,+++,1,--,,friends,Y,Y
4,online,2021,STEM,MSc,USA,Technology,NFT,"trade,remittance,trans",,4-5,++,25,family,N,Y
5,online,2023,Business,PhD,USA,,ALT,"remittance,trans",+++,1,,25,friends,Y,Y
6,f2f,2024,Business,3rd,Europe,Public,BTC,"remittance,trans",+++,1-3,,100,study/research,Y,Y
7,online,2023,STEM,MSc,USA,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,+++,50,marketing,Y,Y
8,online,2021,STEM,MSc,Africa,Technology,DOGE,trade,+++,5+,-,,study/research,Y,Y
9,online,2021,Business,1st,India,Technology,BTC,remittance,+,4-5,,25,marketing,Y,Y
10,f2f,2022,Business,MSc,Turkey,Finance,"BTC,ALT",remittance,++,1,,75,marketing,N,Y
11,f2f,2024,Humanities,1st,USA,Engineering,"BTC,ALT","remittance,trans",+++,11,,25,friends,Y,Y
12,online,2020,STEM,2nd,ME,Retail,"BTC,NFT,DOGE",trade,++,1-3,++,,study/research,Y,N
13,online,2020,Business,MSc,USA,Public,BTC,trade,++,1,-,,friends,Y,N
14,f2f,2024,STEM,3rd,Turkey,Public,BTC,"remittance,trans",++,1,,75,friends,Y,Y
15,online,2020,Business,PhD,China,Retail,BTC,"trade,remittance,trans",,,++,,family,Y,Y
16,f2f,2023,Business,1st,USA,Finance,"BTC,ALT","remittance,trans",+++,1,,50,marketing,N,Y
17,f2f,2020,STEM,1st,China,Finance,"ETH,ALT",remittance,+,11-3,,75,friends,Y,Y
18,online,2020,STEM,Phd,South America,Public,BTC,remittance,+,1-31-3,,25,marketing,Y,N
19,online,2024,Business,1st,India,,"NFT,ALT","remittance,trans",+++,,,75,study/research,Y,Y
20,online,2024,Business,PhD,USA,Finance,NFT,"trade,remittance,trans",+++,1-3,+++,,family,Y,N
21,f2f,2020,Business,PhD,Europe,Legal,"BTC,ALT",remittance,++,5+,,25,study/research,N,Y
22,online,2020,Humanities,1st,USA,Legal,"BTC,NFT,DOGE",trade,++,1,+,,marketing,Y,N
23,online,2023,STEM,MSc,ME,Technology,,"trade,remittance",+++,1-3,+++,,family,Y,N
24,f2f,2023,STEM,MSc,Europe,Finance,"BTC,ETH",trade,++,,+++,,study/research,Y,Y
25,online,2022,Humanities,PhD,USA,Medical,"ETH,ALT",trade,+,1,--,,marketing,Y,Y
26,online,2023,STEM,3rd,India,Technology,"BTC,ALT","remittance,trans",+++,,,25,marketing,Y,Y
27,online,2022,STEM,PhD,USA,Engineering,"BTC,ETH","trade,remittance,trans",++,,--,,family,Y,Y
28,online,2020,STEM,MSc,Turkey,Engineering,"ETH,ALT",remittance,++,1,,75,marketing,N,Y
29,f2f,2024,Business,1st,South America,,"BTC,ALT","remittance,trans",++,11,,25,friends,Y,N
30,online,2020,Business,1st,USA,Legal,BTC,trade,++,1,+,,friends,Y,Y
31,online,2021,Humanities,MSc,Europe,,"BTC,NFT,DOGE",trade,+,1,,,marketing,N,N
32,f2f,2023,Business,1st,Africa,Retail,"BTC,ETH,NFT",trade,+,1,-,,friends,Y,N
33,online,2024,STEM,3rd,USA,Finance,"BTC,NFT","remittance,trans",+++,1,,75,study/research,Y,Y
34,f2f,2022,STEM,MSc,USA,Technology,NFT,"trade,remittance",,1,+,25,family,N,Y
35,online,2020,Humanities,PhD,India,Legal,ETH,trade,++,1,-,,marketing,Y,Y
36,online,2024,Business,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,1,,75,family,Y,Y
37,online,2021,Business,PhD,Africa,Engineering,BTC,"trade,remittance,trans",+++,1-3,--,75,family,Y,Y
38,online,2024,Business,PhD,South America,Technology,"NFT,ALT","remittance,trans",+++,1,,25,friends,Y,Y
39,online,2023,Business,3rd,USA,Finance,"BTC,ALT",remittance,+++,,,25,marketing,Y,Y
40,online,2023,Business,PhD,USA,,"NFT,ALT","remittance,trans",+++,1-3,,75,study/research,N,Y
41,f2f,2021,STEM,PhD,ME,Technology,BTC,"trade,remittance",++,1,-,,family,Y,Y
42,online,2024,STEM,3rd,Turkey,Technology,"BTC,NFT","remittance,trans",++,11,,100,marketing,N,Y
43,online,2021,Business,MSc,ME,Medical,,trade,+,1-3,++,,marketing,Y,Y
44,online,2020,Business,3rd,USA,Technology,"BTC,ETH",remittance,+++,1-3,,25,marketing,N,Y
45,f2f,2024,STEM,MSc,China,Engineering,,trade,+++,1-3,+++,,friends,Y,Y
46,f2f,2024,STEM,MSc,UK,Technology,BTC,trade,+++,4-5,+,,study/research,Y,Y
47,online,2022,STEM,MSc,South America,Technology,BTC,"remittance,trans",+++,1,,100,marketing,N,Y
48,online,2021,STEM,PhD,Europe,Engineering,ETH,"trade,remittance",+++,5+,,25,marketing,Y,Y
49,f2f,2020,STEM,3rd,UK,Engineering,"BTC,NFT,DOGE",trade,+++,1-3,,,study/research,Y,Y
50,online,2021,STEM,2nd,ME,,"BTC,NFT,ALT",trade,++,1,++,,family,Y,Y
51,online,2024,Business,2nd,ME,Technology,"BTC,NFT",remittance,++,11-3,,75,family,N,N
52,online,2020,STEM,1st,India,Engineering,"BTC,ETH",remittance,+++,1-3,,25,friends,Y,N
53,online,2024,STEM,3rd,India,Technology,ETH,"remittance,trans",+++,1,,50,marketing,Y,Y
54,f2f,2023,Business,3rd,India,,ALT,"remittance,trans",+++,4-5,,50,friends,N,Y
55,online,2024,STEM,PhD,China,Engineering,DOGE,"trade,remittance,trans",,4-5,+++,25,family,N,Y
56,online,2023,Business,Phd,Turkey,Medical,"BTC,DOGE","remittance,trans",++,1,,50,friends,Y,Y
57,online,2022,Humanities,2nd,ME,Medical,"BTC,ETH",remittance,+,1-3,,50,marketing,Y,N
58,online,2021,STEM,PhD,Europe,Finance,"BTC,ETH",trade,+++,1-3,,,study/research,Y,Y
